,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scheme 1,Scheme 2,JOB_ID,ACCOUNT_ITEM_ID(Cont No.),Policy_No,Prefix,SITE_ADDRESS_1,SITE_ADDRESS_2,SITE_ADDRESS_3,SITE_ADDRESS_4(Post Code),CONTRACTOR,WORK_TYPE_1,WORK_TYPE_2,WORK_TYPE_3,CONTRACT_PRICE,Excess,Excess value,CODE1(rates),CODE2(rates),COMPLETION_DATE,Orig Pol Start Date,DEPOSIT_PAID_DATE,GUARANTEE_TERM_1,Commision,PAYMENT_MADE,IPT/TAX,IPTPLUSPAYMENT,NET_PREMIUM,MONTH_OF_COMPLETION,LOCATION,Type,No of Policies,Bord Month,Reserve Pot,Actuarial Split,Month of Account,Bord Name,Customer Surname,Unique identifier,Actuarial Adjustment,Claims Paid(Y or N),Claim Amount
Global Home Warranties,GHW ROI,Week 3,,SINI1012130516,GHW,15,"Marella Holiday Homes, Enniscrone",,,Ernst & Young,New Build,,,113755.4,N,,,,01/08/2013,01/08/2013,,120,,,3970.73,,248.17,01/08/2013,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100001,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1002130151,GHW,86,"Alexandra Walk, Abbeylands, Clane",,,KPMG,New Build,,,90147.93,N,,,,01/12/2013,,,120,,,3970.73,,248.17,01/12/2013,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100002,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1006120532,GHW,21,"Alexandra Manor, Abbeylands, Clane",,,KPMG,New Build,,,163792.53,N,,,,01/12/2013,,,120,,,3970.73,,248.17,01/12/2013,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100003,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1006120535,GHW,24,"Alexandra Manor, Abbeylands, Clane",,,KPMG,New Build,,,200397.68,N,,,,01/12/2013,,,120,,,3970.73,,248.17,01/12/2013,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100004,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1006120536,GHW,25,"Alexandra Manor, Abbeylands, Clane",,,KPMG,New Build,,,163792.53,N,,,,01/12/2013,,,120,,,3970.73,,248.17,01/12/2013,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100005,,,
Global Home Warranties,GHW ROI,Week 3,,SINI1002130157,GHW,130,"The Peninsula, Alexandra Walk, Abbeylands, Clane",,,KPMG,New Build,,,37411.7,N,,,,08/02/2012,08/02/2012,,120,,,3970.73,,248.17,01/01/2012,,Policy,1,01/12/2013,GHW,GHW,01/01/2014,,,2014GHW100006,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1009130455,GHW,3,"Cairnbrook Avenue, Glenamuck Road, Carrickmines, Dublin 18",,,Newlyn Developments Ltd,New Build,,,290773.1,N,,,,01/01/2014,,,120,,,3970.73,,248.17,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100007,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1009130458,GHW,8,"Cairnbrook Avenue, Glenamuck Road, Carrickmines, Dublin 18",,,Newlyn Developments Ltd,New Build,,,188609.58,N,,,,14/03/2014,14/03/2014,,120,,,3970.73,,248.17,01/03/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100008,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140520,GHW,77,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100009,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140521,GHW,78,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100010,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140522,GHW,79,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100011,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140523,GHW,80,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100012,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140524,GHW,81,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100013,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140525,GHW,82,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100014,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140526,GHW,83,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100015,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140527,GHW,84,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100016,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140528,GHW,85,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100017,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140529,GHW,86,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100018,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140530,GHW,87,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100019,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140531,GHW,88,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,01/01/2014,,,120,,,1819.92,,165.45,01/01/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100020,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140532,GHW,89,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,216404.68,N,,,,15/05/2014,15/05/2014,,120,,,1819.92,,165.45,01/05/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100021,,,
Global Home Warranties,GHW ROI,Week 1,,SINI1001140533,GHW,90,"College Square, Wainsfort Manor Drive, Terenure (Phase 2)",,,Ballymore Residential Limited (Ballymore Group),New Build,,,235761.98,N,,,,15/05/2014,15/05/2014,,120,,,1819.92,,165.45,01/05/2014,,Policy,1,01/01/2014,GHW,GHW,01/01/2014,,,2014GHW100022,,,
